English,Turkish
the,the
and,Ve
have,sahip olmak
that,O
for,için
you,Sen
with,ile
say,söylemek
this,Bu
they,Onlar
but,Ancak
his,onun
from,itibaren
not,Olumsuz
she,o
as,gibi
what,Ne
their,onların
can,olabilmek
who,DSÖ
get,elde etmek
would,istemek
her,o
all,Tümü
make,yapmak
about,hakkında
know,Bilmek
will,irade
one,bir
time,zaman
there,Orası
year,yıl
think,düşünmek
when,Ne zaman
which,Hangi
them,onlara
some,bazı
people,insanlar
take,almak
out,dışarı
into,içine
just,Sadece
see,Görmek
him,o
your,senin
come,Gelmek
could,olabilir
now,Şimdi
than,hariç
like,beğenmek
other,diğer
how,Nasıl
then,Daha sonra
its,onun
our,bizim
two,iki
more,Daha
these,bunlar
want,istek
way,yol
look,Bakmak
first,Birinci
also,Ayrıca
new,yeni
because,Çünkü
day,gün
use,kullanmak
man,Adam
find,bulmak
here,Burada
thing,şey
give,vermek
many,birçok
well,Peki
only,sadece
those,onlar
tell,söylemek
very,çok
even,eşit
back,geri
any,herhangi
good,iyi
woman,kadın
through,başından sonuna kadar
life,hayat
child,çocuk
work,iş
down,aşağı
may,mayıs
after,sonrasında
should,yapmalı
call,Arama
world,dünya
over,üzerinde
school,okul
still,Hala
try,denemek
last,son
ask,sormak
need,ihtiyaç
too,fazla
feel,hissetmek
three,üç
state,durum
never,Asla
become,haline gelmek
between,arasında
high,yüksek
really,Gerçekten
something,bir şey
most,en
another,bir diğer
much,fazla
family,aile
own,sahip olmak
leave,ayrılmak
put,koymak
old,eskimiş
while,sırasında
mean,Anlam
keep,kale
student,öğrenci
why,Neden
let,izin vermek
great,Harika
same,Aynı
big,büyük
group,grup
begin,başlamak
seem,gözükmek
country,ülke
help,yardım
talk,konuşmak
where,Neresi
turn,dönüş
problem,sorun
every,Her
start,başlangıç
hand,el
might,belki
American,Amerikan
show,göstermek
part,parça
against,aykırı
place,yer
such,çok
again,Tekrar
few,bir kaç
case,dava
week,hafta
company,şirket
system,sistem
each,her biri
right,Sağ
program,programı
hear,duymak
question,soru
during,sırasında
play,oynamak
government,devlet
run,koşmak
small,küçük
number,sayı
off,kapalı
always,Her zaman
move,taşınmak
night,gece
live,canlı
Mr,Bay
point,nokta
believe,inanmak
hold,tutmak
today,Bugün
bring,getirmek
happen,olmak
next,Sonraki
without,olmadan
before,önce
large,büyük
million,milyon
must,mutlak
home,Ev
under,altında
water,su
room,oda
write,yazmak
mother,anne
area,alan
national,ulusal
money,para
story,hikaye
young,genç
fact,hakikat
month,ay
different,farklı
lot,pay
study,çalışmak
book,kitap
eye,göz
job,iş
